id,enota,tip,leto,adaptirano,nadstropje,velikost,cena,agencija,opis
6217098,BRDO,štirisobno,2002,2016,3,150.5,399000.0,"INBA, nepremičninska družba, d.o.o.","150,5 m2, 4-sobno, dupleks, zgrajeno l. 2002, adaptirano l. 2016, 3/4 nad., Dupleks stanovanje v naselju Nova Grbina, pr..."
6212797,BRDO,štirisobno,2002,2016,3,150.5,399000.0,"INBA, nepremičninska družba, d.o.o.","150,5 m2, 4-sobno, dupleks, zgrajeno l. 2002, adaptirano l. 2016, 3/4 nad., Dupleks stanovanje v naselju Nova Grbina, pr..."
6199262,BRDO,dvosobno,2002,None,3,87.6,279000.0,"Rebernik nepremičnine, Samo Rebernik s.p.","87,6 m2, 2-sobno, zgrajeno l. 2002, 3/M, duplex, idealno za par, kompletno opremljeno po meri, CK - plin, razpored v pri..."
6209894,BRINJE,dvosobno,1933,2017,1,90.0,240000.0,Furioso d.o.o.,"90 m2, 2-sobno, zgrajeno l. 1933, adaptirano l. 2017, 90 m2 zemljišča, 1/2 nad., prodamo. Cena: 240.000,00 EUR"
6206638,BRINJE,dvoinpolsobno,1964,2010,1,65.3,190000.0,KREATIVDOM d.o.o.,"65,3 m2, 2,5-sobno, zgrajeno l. 1964, adaptirano l. 2010, 1/4 nad., svetlo, z balkonom, dobra lokacija za investicijo, p..."
6217004,BROD,dvosobno,2004,2012,None,60.3,185000.0,Agencia d.o.o.,"60,3 m2, 2-sobno, zgrajeno l. 2004, adaptirano l. 2012, Prodamo 2-sobno stanovanje v urejenem naselju v 3/5 nadstropju, ..."
6213138,BROD,dvoinpolsobno,2017,None,2,92.41,242900.0,Medvešek Pušnik Nepremičnine d.o.o.,"92,41 m2, 2,5-sobno, zgrajeno l. 2017, 25,27 m2 zemljišča, 2/2 nad., arhitekturno dovršeno &quot;penthouse&quot; stanova..."
6211922,BROD,garsonjera,1920,2018,M,23.6,83000.0,Eventum d.o.o.,"23,6 m2, garsonjera, v stavbi zgrajeni l. 1920, adaptirana l. 2018, M/3 nad., v celoti kvalitetno obnovljeno stanovanje,..."
6201670,BROD,petsobno,2006,None,P,224.0,494000.0,Zasebna ponudba,"224 m2, 5 in večsobno, dupleks, zgrajeno l. 2006, 100 m2 zemljišča, P/4 nad., Prodamo moderni dupleks z atrijem pod Šmar..."
6219109,BS 3,garsonjera,1982,2018,11,28.0,105000.0,Zasebna ponudba,"28 m2, garsonjera, zgrajena l. 1982, adaptirana l. 2018, 11/14 nad., Prodam garsonjero delno obnovljeno, vpisano v zemlj..."
6217466,BS 3,enoinpolsobno,1978,2018,1,38.0,150000.0,Zasebna ponudba,"38 m2, 1,5-sobno, zgrajeno l. 1978, adaptirano l. 2018, 1/4 nad., Popolnoma obnovljeno prodamo z opremo, prodamo. Cena: ..."
6177442,BS 3,dvosobno,1982,2017,16,46.0,138000.0,Rojal invest d.o.o.,"46 m2, 2-sobno, zgrajeno l. 1982, adaptirano l. 2017, 16/21 nad., prodamo. Cena: 138.000,00 EUR"
6219664,BS 3,dvoinpolsobno,1978,2010,4,54.0,158000.0,Rocco nepremičnine d.o.o.,"54 m2, 2,5-sobno, &quot;penthouse&quot;, zgrajeno l. 1978, adaptirano l. 2010, 4/4 nad., prodamo. Cena: 158.000,00 EUR"
6198665,BS 3,dvoinpolsobno,1977,None,3,55.2,158000.0,Zasebna ponudba,"55,2 m2, 2,5-sobno, zgrajeno l. 1977, 3/4 nad., prijetno in mirno stnovanje, 2 popolnoma ločeni spalnici, CK, parkirišče..."
6217314,BS 3,dvoinpolsobno,1978,None,3,57.4,158000.0,MESTO NEPREMIČNIN d.o.o.,"57,4 m2, 2,5-sobno, zgrajeno l. 1978, 3/4 nad., mirno in prijetno stanovanje, bližina fakultet in centra Stožice, prodam..."
6203198,BS 3,dvoinpolsobno,1978,None,3,58.3,157900.0,"Sonce skupina d.o.o., PE Ljubljana","58,3 m2, 2,5-sobno, zgrajeno l. 1978, 3/4 nad., BS3, Maroltova, v urejenem nizkem bloku prodamo lepo vzdrževano 2,5 sobn..."
6218646,BS 3,dvosobno,1978,None,4,58.8,138000.0,Realia d.o.o.,"58,8 m2, 2-sobno, zgrajeno l. 1978, 4/4 nad., vpisano v Zk, vseljivo takoj po plačilu kupnine, prodamo. Cena: 138.000,00..."
6219059,BS 3,dvoinpolsobno,1978,None,1,66.9,168000.0,LJUBLJANA NEPREMIČNINE d.o.o.,"66,9 m2, 2,5-sobno, zgrajeno l. 1978, 1/4 nad., prodamo. Cena: 168.000,00 EUR"
6205070,BS 3,trisobno,1978,None,None,66.9,168000.0,ABC nepremičnine d.o.o.,"66,9 m2, 3-sobno, zgrajeno l. 1978, prodamo. Cena: 168.000,00 EUR"
6221086,BS 3,trisobno,1978,2017,3,76.6,230000.0,MESTO NEPREMIČNIN d.o.o.,"76,6 m2, 3-sobno, zgrajeno l. 1978, adaptirano l. 2017, 3/4 nad., svetlo in v celoti prenovljeno stanovanje na odlični l..."
6207520,BS 3,trisobno,1978,2017,3,76.6,230000.0,Zasebna ponudba,"76,6 m2, 3-sobno, zgrajeno l. 1978, adaptirano l. 2017, 3/4 nad., Popolnoma prenovljeno 3 sobno stanovanje v BS3 prodamo..."
6196092,BS 3,trisobno,1978,2004,None,77.0,225000.0,"Nepremičninska agencija ""TLORIS"" Miro Torić s.p., Poslovna enota","77 m2, 3-sobno, zgrajeno l. 1978, adaptirano l. 2004, prodamo. Cena: 225.000,00 EUR"
6179306,BS 3,trisobno,1978,None,3,77.7,225000.0,Mreža nepremičnin d.o.o.,"77,7 m2, 3-sobno, zgrajeno l. 1978, 3/4 nad., prodamo. Cena: 225.000,00 EUR"
6211686,BS 3,triinpolsobno,1978,2014,3,78.0,225000.0,NEPTUN NEPREMIČNINE- Borut Vodopivec s. p.,"78 m2, 3,5-sobno, zgrajeno l. 1978, adaptirano l. 2014, 3/4 nad., Svetlo, prostorno in dobro zasnovano stanovanje z izre..."
6197460,BS 3,triinpolsobno,1978,None,4,78.2,199000.0,Nepremičnine Plus d.o.o.,"78,2 m2, 3,5-sobno, zgrajeno l. 1978, 4/4 nad., opremljeno, nova okna in radiatorji, protivlomna vrata, klimatizirano, v..."
6205071,BS 3,triinpolsobno,1978,None,None,78.5,199000.0,ABC nepremičnine d.o.o.,"78,5 m2, 3,5-sobno, zgrajeno l. 1978, prodamo. Cena: 199.000,00 EUR"
6217319,BS 3,trisobno,1977,2015,4,79.2,215000.0,MESTO NEPREMIČNIN d.o.o.,"79,2 m2, 3-sobno, zgrajeno l. 1977, adaptirano l. 2015, 4/4 nad., trosobno stanovanje adaptirano leta 2015, prodamo. Cen..."
6219928,BS 3,trisobno,1981,2011,5,79.3,259900.0,Zasebna ponudba,"79,3 m2, 3-sobno, zgrajeno l. 1981, adaptirano l. 2011, 5/10 nad., vsi priključki, obnovljeno, želena lokacija, prodamo...."
6219016,BS 3,trisobno,1981,2017,2,80.0,320000.0,"Stoja trade, d.o.o., Ljubljana","80 m2, 3-sobno, zgrajeno l. 1981, adaptirano l. 2017, 2/14 nad., Prodamo svetlo, prenovljeno in moderno opremljeno stano..."
6217331,BS 3,trisobno,1981,2017,2,800.9,320000.0,MESTO NEPREMIČNIN d.o.o.,"800,9 m2, 3-sobno, zgrajeno l. 1981, adaptirano l. 2017, 2/14 nad., zelo svetlo, prostorno in dizajnersko opremljeno tro..."
6188897,BS 3,trisobno,1981,None,5,78.0,206000.0,Livimex d.o.o.,"78 m2, 3-sobno, zgrajeno l. 1981, 5/21 nad., Vpisano v ZK brez bremen, dva dvigala, delno obnovljeno vsi priključki, nep..."
6220252,BS 3,dvosobno,1978,2018,None,56.06,138000.0,Zasebna ponudba,"56,06 m2, 2-sobno, zgrajeno l. 1978, adaptirano l. 2018, prodamo. Cena: cca 138.000,00 EUR"
6201861,BS 3,trisobno,1981,1997,2,81.0,187000.0,Zasebna ponudba,"81 m2, 3-sobno, zgrajeno l. 1981, adaptirano l. 1997, 2/18 nad., prodamo. Cena: 187.000,00 EUR"
6218896,BS 3,enosobno,1976,2012,3,46.8,155000.0,Zasebna ponudba,"46,8 m2, 1-sobno, zgrajeno l. 1976, adaptirano l. 2012, 3/4 nad., če iščete dom, ne le stanovanje, je tale biserček za v..."
6211332,BS 3,trisobno,1976,2015,4,76.0,215000.0,Zasebna ponudba,"76 m2, 3-sobno, v stavbi zgrajeni l. 1976, adaptirano l. 2015, 4/4 nad., V bližini stadiona ter dvorane Stožice in treh ..."
6214441,BS 3,dvosobno,1978,None,4,52.0,154900.0,Zasebna ponudba,"52 m2, 2-sobno, zgrajeno l. 1978, 4/4 nad., Prodamo prijetno stanovanje v naselju BS3 z zahodno lego. Stanovanje je vzdr..."
6216410,BS 3,dvosobno,1981,None,12,45.5,136000.0,Realia d.o.o.,"45,5 m2, 2-sobno, zgrajeno l. 1981, 12/21 nad., vpisano v zemljiško knjigo, brez bremen, takoj vseljivo, prodamo. Cena: ..."
6211567,BS 3,dvosobno,1981,None,12,45.5,136000.0,Realia d.o.o.,"45,5 m2, 2-sobno, zgrajeno l. 1981, 12/20 nad., vpisano v zemljiško knjigo, brez bremen, takoj vseljivo, prodamo. Cena: ..."
6197901,BS 3,dvoinpolsobno,1978,2017,4,73.5,199000.0,Rojal invest d.o.o.,"73,5 m2, 2,5-sobno, zgrajeno l. 1978, adaptirano l. 2017, 4/4 nad., prodamo. Cena: 199.000,00 EUR"
6216955,BTC,dvosobno,1981,2000,6,63.38,156000.0,Mreža nepremičnin d.o.o.,"63,38 m2, 2-sobno, zgrajeno l. 1981, adaptirano l. 2000, 6/8 nad., prodamo. Cena: 156.000,00 EUR"
6216278,ČRNUČE,garsonjera,1999,None,3,31.0,98000.0,"Rebernik nepremičnine, Samo Rebernik s.p.","31 m2, garsonjera, zgrajena l. 1999, 3/5 nad., urejena in vzdrževana, svetla, ki jo sestavlja bivalni del s kuhinjsko op..."
6213227,ČRNUČE,dvosobno,1986,2016,2,44.9,119000.0,Rojal invest d.o.o.,"44,9 m2, 2-sobno, zgrajeno l. 1986, adaptirano l. 2016, 2/3 nad., prodamo. Cena: 119.000,00 EUR"
6219752,ČRNUČE,dvosobno,1987,2018,2,47.5,149000.0,Trg nepremičnin d.o.o.,"47,5 m2, 2-sobno, zgrajeno l. 1987, adaptirano l. 2018, 2/3 nad., Prodamo moderno in svetlo opremljeno stanovanje na izr..."
6219211,ČRNUČE,dvosobno,1987,2015,VP,48.0,144000.0,Mreža nepremičnin d.o.o.,"48 m2, 2-sobno, zgrajeno l. 1987, adaptirano l. 2015, visoko pritličje, prodamo. Cena: 144.000,00 EUR"
6221153,ČRNUČE,dvosobno,1960,2007,None,50.4,170000.0,LJUBLJANA NEPREMIČNINE d.o.o.,"50,4 m2, 2-sobno, zgrajeno l. 1960, adaptirano l. 2007, prodamo. Cena: 170.000,00 EUR"
6220286,ČRNUČE,trisobno,1926,1995,2,56.4,99000.0,KREATIVDOM d.o.o.,"56,4 m2, 3-sobno, zgrajeno l. 1926, adaptirano l. 1995, 2/2 nad., prodamo. Cena: 99.000,00 EUR"
6218235,ČRNUČE,dvosobno,1959,2012,None,56.9,150000.0,Inalbea d.o.o.,"56,9 m2, 2-sobno, zgrajeno l. 1959, adaptirano l. 2012, Zelo simpatično, svetlo, lepo urejeno in obnovljeno stanovanje, ..."
6208226,ČRNUČE,dvosobno,1959,2012,VP,56.9,157000.0,KREATIVDOM d.o.o.,"56,9 m2, 2-sobno, zgrajeno l. 1959, adaptirano l. 2012, VP/3 nad., prodamo. Cena: 157.000,00 EUR"
6215114,ČRNUČE,dvosobno,1981,2001,4,58.0,143000.0,Mreža nepremičnin d.o.o.,"58 m2, 2-sobno, zgrajeno l. 1981, adaptirano l. 2001, 4/12 nad., prodamo. Cena: 143.000,00 EUR"
6206345,ČRNUČE,dvosobno,2003,None,VP,58.45,167000.0,Rojal invest d.o.o.,"58,45 m2, 2-sobno, zgrajeno l. 2003, VP/3 nad., prodamo. Cena: 167.000,00 EUR"
6188368,ČRNUČE,trisobno,2010,None,2,59.9,215000.0,Meterra d.o.o.,"59,9 m2, 3-sobno, zgrajeno l. 2010, 2/2 nad., Svetlo stanovanje v vila bloku, 1 garaža v kleti za dve vozili, zelo lepo ..."
6216432,ČRNUČE,trisobno,1926,1993,2,60.0,109000.0,Trg nepremičnin d.o.o.,"60 m2, 3-sobno, zgrajeno l. 1926, adaptirano l. 1993, 2/2 nad., Ugodno prodamo 3-sobno stanovanje, ki je primerno tudi k..."
6170606,ČRNUČE,dvosobno,1988,None,1,61.8,158000.0,Zasebna ponudba,"61,8 m2, 2-sobno, zgrajeno l. 1988, 1/4 nad., Na lepi lokaciji v Črnučah prodam svetlo 2-sobno stanovanje v 1. nadstropj..."
6141942,ČRNUČE,dvosobno,1978,2014,4,66.5,165000.0,Mreža nepremičnin d.o.o.,"66,5 m2, 2-sobno, zgrajeno l. 1978, adaptirano l. 2014, 4/4 nad., prodamo. Cena: 165.000,00 EUR"
6206244,ČRNUČE,triinpolsobno,1898,2017,None,74.3,229000.0,"Stoja trade, d.o.o., Ljubljana","74,3 m2, 3,5-sobno, zgrajeno l. 1898, adaptirano l. 2017, P+M, Prodamo moderno dupleks stanovanje v popolnoma prenovljen..."
6195512,ČRNUČE,trisobno,1803,None,1,81.7,129000.0,MP PROJEKT d.o.o.,"81,7 m2, 3-sobno, zgrajeno l. 1803, 1. nad., prodamo. Cena: 129.000,00 EUR"
6220755,ČRNUČE,trisobno,1956,2014,2,84.1,185000.0,"Aeon nepremičnine, d.o.o., Century 21 Emona","84,1 m2, 3-sobno, zgrajeno l. 1956, adaptirano l. 2014, 2/2 nad., prodamo. Cena: 185.000,00 EUR"
6215401,ČRNUČE,trisobno,1956,2014,2,84.1,189000.0,"Stoja trade, d.o.o., Ljubljana","84,1 m2, 3-sobno, zgrajeno l. 1956, adaptirano l. 2014, 2. nad., Prodamo v celoti adaptirano staro-meščansko stanovanje ..."
6172496,ČRNUČE,Drugo,1996,None,2,119.0,269000.0,LJUBLJANA NEPREMIČNINE d.o.o.,"119 m2, stanovanje, zgrajeno l. 1996, 2/2 nad., prodamo. Cena: 269.000,00 EUR"
6220057,ČRNUČE,trisobno,2012,None,None,126.3,349000.0,Nepremičnine Plus d.o.o.,"126,3 m2, 3-sobno, zgrajeno l. 2012, 151 m2 zemljišča, VRHUNSKO STANOVANJE, lepo in komfortno opremljeno stanovanje na o..."
6213539,ČRNUČE,štirisobno,2009,None,None,128.5,249000.0,"Aeon nepremičnine, d.o.o., Century 21 Emona","128,5 m2, 4-sobno, zgrajeno l. 2009, prodamo. Cena: 249.000,00 EUR"
6208103,ČRNUČE,trisobno,2009,None,2,128.5,249000.0,"Aeon nepremičnine, d.o.o., Century 21 Emona","128,5 m2, 3-sobno, zgrajeno l. 2009, 2/2 nad., prodamo. Cena: 249.000,00 EUR"
6207856,ČRNUČE,štirisobno,2010,None,2,129.0,249000.0,Mernet d.o.o.,"129 m2, 4-sobno, dupleks, zgrajeno l. 2010, 2/2 nad., prodamo. Cena: 249.000,00 EUR"
6195104,ČRNUČE,štirisobno,1996,None,2,135.0,269000.0,Mreža nepremičnin d.o.o.,"135 m2, 4-sobno, zgrajeno l. 1996, 2/2 nad., prodamo. Cena: 269.000,00 EUR"
6170791,ČRNUČE,Drugo,1996,None,None,135.6,269000.0,ABC nepremičnine d.o.o.,"135,6 m2, stanovanje, zgrajeno l. 1996, prodamo. Cena: 269.000,00 EUR"
6205700,ČRNUČE,trisobno,1996,None,2,136.1,259000.0,"Stoja trade, d.o.o., Ljubljana","136,1 m2, 3-sobno, zgrajeno l. 1996, 2. nad., Prodamo lepo in moderno dupleks stanovanje na lahko dostopni lokaciji v Čr..."
6066651,ČRNUČE,štiriinpolsobno,2012,None,None,179.1,316000.0,LJUBLJANA NEPREMIČNINE d.o.o.,"179,1 m2, 4,5-sobno, zgrajeno l. 2012, 100 m2 zemljišča, K+P+1+2, prodamo. Cena: 316.000,00 EUR"
6220990,ČRNUČE,petsobno,1983,None,1,200.0,400000.0,Zasebna ponudba,"200 m2, 5 in večsobno, zgrajeno l. 1983, 200 m2 zemljišča, 1/2 nad., Na odlični lokaciji, pri končni avtobusni postaji š..."
6217908,ČRNUČE,triinpolsobno,1996,None,2,135.6,220000.0,"Sans nepremičnine, d.o.o.","135,6 m2, 3,5-sobno, zgrajeno l. 1996, 2/2 nad., prodamo. Cena: cca 220.000,00 EUR"
6220693,ČRNUČE,dvosobno,1960,None,P,50.4,159000.0,"Aeon nepremičnine, d.o.o., Century 21 Emona","50,4 m2, 2-sobno, zgrajeno l. 1960, 33 m2 zemljišča, P/1 nad., prodamo. Cena: 159.000,00 EUR"
6219290,ČRNUČE,dvosobno,2009,2009,None,50.0,159000.0,Zasebna ponudba,"50 m2, 2-sobno, adaptirano l. 2009, Prodaja se stanovanje v Črnučah, Črnuška gmajna, prodamo. Cena: 159.000,00 EUR"
6143562,ČRNUČE,trisobno,2005,None,P,79.88,220000.0,Mreža nepremičnin d.o.o.,"79,88 m2, 3-sobno, zgrajeno l. 2005, P/2 nad., prodamo. Cena: 220.000,00 EUR"
6219345,ČRNUČE,trisobno,1926,1995,3,56.0,109000.0,UgodNepremicnine - Vehar Sebastjan s.p.,"56 m2, 3-sobno, zgrajeno l. 1926, adaptirano l. 1995, 35 m2 zemljišča, 3/3 nad., CK je na električno stensko peč 6 kW, p..."
6215319,ČRNUČE,trisobno,1926,1995,2,56.4,110000.0,"Nepremičninska agencija ""TLORIS"" Miro Torić s.p., Poslovna enota","56,4 m2, 3-sobno, zgrajeno l. 1926, adaptirano l. 1995, 2. nad., prodamo. Cena: 110.000,00 EUR"
6220639,ČRNUČE,enosobno,2000,None,3,35.8,98000.0,Zasebna ponudba,"35,8 m2, 1-sobno, zgrajeno l. 2000, 3/4 nad., Stanovanje s pogledom na naravo, zasebna ponudba. Stanovanje je svetlo, im..."
6198522,ČRNUČE,trisobno,1940,2000,P,60.0,120000.0,Zasebna ponudba,"60 m2, 3-sobno, zgrajeno l. 1940, adaptirano l. 2000, P/2 nad., CK na plin, bližina LPP, kabelska TV, dva parkirna mesta..."
